unit,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
CLV10_EUR_HAB,B1GQ,AT	31710 	31990 	32360 	32520 	33200 	33710 	34700 	35870 	36280 	34830 	35390 	36300 	36390 	36180 	36130 	36140 	36390 	37030 	37800 	38170 
CLV10_EUR_HAB,B1GQ,BE	29890 	30110 	30490 	30680 	31640 	32200 	32800 	33760 	33640 	32700 	33330 	33460 	33490 	33490 	33870 	34360 	34690 	35210 	35580 	35900 
CLV10_EUR_HAB,B1GQ,BG	3010 	3230 	3440 	3640 	3890 	4190 	4500 	4820 	5140 	4990 	5050 	5300 	5350 	5400 	5530 	5790 	6050 	6310 	6550 	6800
CLV10_EUR_HAB,B1GQ,CH	50750 	51160 	50880 	50530 	51590 	52890 	54650 	56400 	56940 	55050 	56280 	56690 	56660 	57040 	57730 	57840 	58200 	58700 	59870 	59990 
CLV10_EUR_HAB,B1GQ,CY	20130 	20700 	21230 	21520 	22300 	23050 	23740 	24420 	24680 	23550 	23400 	22900 	21780 	20400 	20250 	21020 	22270 	23200 	24120 	24570
CLV10_EUR_HAB,B1GQ,CZ	11230 	11620 	11830 	12260 	12840 	13650 	14530 	15250 	15500 	14690 	15020 	15310 	15170 	15160 	15480 	16290 	16670 	17490 	17980 	18330 
CLV10_EUR_HAB,B1GQ,DE	28910 	29370 	29290 	29100 	29470 	29730 	30930 	31920 	32320 	30580 	31940 	33200 	33280 	33330 	33920 	34130 	34610 	35380 	35720 	35840 
CLV10_EUR_HAB,B1GQ,DK	42190 	42390 	42430 	42490 	43520 	44400 	45990 	46210 	45700 	43220 	43840 	44240 	44170 	44410 	44890 	45630 	46720 	47740 	48530 	49720 
CLV10_EUR_HAB,B1GQ,EA19	26500 	26980 	27090 	27120 	27590 	27900 	28670 	29370 	29340 	27930 	28460 	28870 	28540 	28410 	28750 	29250 	29700 	30400 	30900 	31210 
CLV10_EUR_HAB,B1GQ,EE	7570 	8070 	8680 	9390 	10090 	11110 	12260 	13270 	12640 	10830 	11150 	12010 	12430 	12640 	13060 	13330 	13730 	14480 	15070 	15760 
CLV10_EUR_HAB,B1GQ,EL	17430 	18050 	18690 	19730 	20670 	20740 	21840 	22500 	22370 	21350 	20150	18130 	16940 	16600 	16820 	16870 	16850 	17100 	17400 	17740
CLV10_EUR_HAB,B1GQ,ES	21460 	22190 	22430 	22680 	23020 	23420 	24000 	24380 	24200 	23100 	23040 	22770 	22080 	21840 	22210 	23080 	23760 	24430 	24910 	25200
CLV10_EUR_HAB,B1GQ,EU27_2020	22460 	22900 	23100 	23210 	23710 	24060 	24820 	25510 	25580 	24400 	24900 	25320 	25090 	25040 	25400 	25920 	26380 	27080 	27610 	27980 
CLV10_EUR_HAB,B1GQ,EU28	23000 	23470 	23710 	23930 	24430 	24830 	25560 	26220 	26240 	25030 	25510 	25900 	25730 	25760 	26150 	26680 	27120 	27770 	28260 	28610 
CLV10_EUR_HAB,B1GQ,FI	30510 	31230 	31690 	32250 	33440 	34250 	35490 	37210 	37330 	34150 	35080 	35810 	35140 	34660 	34390 	34460 	35330 	36400 	36900 	37290 
CLV10_EUR_HAB,B1GQ,FR	28930 	29290 	29410 	29440 	30050 	30320 	30850 	31400 	31310 	30250 	30690 	31210 	31160 	31170 	31320 	31540 	31770 	32380 	32860	33270
CLV10_EUR_HAB,B1GQ,HR	8190 	8420 	8900 	9400 	9780 	10200 	10700 	11250 	11460 	10640 	10520 	10530 	10310 	10300 	10310 	10630 	11100 	11600 	12040 	12450
CLV10_EUR_HAB,B1GQ,HU	7910 	8250 	8670 	9050 	9510 	9930 	10340 	10390 	10510 	9820 	9960 	10180 	10090 	10310 	10770 	11210 	11480 	12010 	12680 	13260
CLV10_EUR_HAB,B1GQ,IE	33290 	34520 	35920 	36400 	38190 	39480 	40390 	41280 	38600 	36300 	36770 	36840 	36740 	37010 	39920 	49510 	49930 	53890 	57780 	60170 
CLV10_EUR_HAB,B1GQ,IS	28290 	28990 	28940 	29420 	31420 	33040 	33820 	36140 	35940 	33520 	32490 	33000 	33250 	34290 	34620 	35890 	37750 	38530 	38970 	38850 
CLV10_EUR_HAB,B1GQ,IT	27430 	27950 	27960 	27850 	28030 	28090 	28480 	28730 	28230 	26590 	26930 	27020 	26090 	25480 	25420 	25640 	26020 	26490 	26780 	26920 
CLV10_EUR_HAB,B1GQ,LT	5230 	5620 	6050 	6740 	7270 	7960 	8690 	9770 	10130 	8720 	9050 
